hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
21, 900.00000, 7415.54, -0.000014364, 7415.54, -120, 7415.54, 120, 262.289, -14.8765, 252.588, -136.172, 247.952, 105.184
21, 1800.00000, 7415.54, -7.4229E-6, 7415.54, -120, 7415.54, 120, 185.21, -23.4234, 175.706, -145.57, 177.659, 97.5502
21, 2700.00000, 7415.54, -0.0000105609, 7415.54, -120, 7415.54, 120, 226.703, -19.7155, 222.018, -142.162, 218.318, 100.849
22, 0.00000, 7415.54, -0.0000161838, 7415.54, -120, 7415.54, 120, 299.132, -15.2823, 295.702, -137.075, 297.787, 104.777
22, 900.00000, 7415.54, -0.0000171978, 7415.54, -120, 7415.54, 120, 309.423, -14.3874, 309.456, -137.292, 308.42, 105.573
22, 1800.00000, 7415.54, -0.0000187575, 7415.54, -120, 7415.54, 120, 333.061, -13.9392, 319.243, -136.062, 317.214, 105.957
22, 2700.00000, 7415.54, -0.000018281, 7415.54, -120, 7415.54, 120, 324.195, -13.8952, 319.067, -135.753, 310.434, 106.345
23, 0.00000, 7415.54, -0.0000157077, 7415.54, -120, 7415.54, 120, 289.854, -15.2272, 278.398, -136.969, 280.75, 105.234
23, 900.00000, 7415.54, -8.00251E-6, 7415.54, -120, 7415.54, 120, 187.027, -21.8877, 173.867, -146.132, 184.317, 98.4961
23, 1800.00000, 7415.54, -0.0000119952, 7415.54, -120, 7415.54, 120, 215.881, -14.3809, 208.092, -137.089, 210.663, 105.481
23, 2700.00000, 7415.54, -0.0000131783, 7415.54, -120, 7415.54, 120, 226.261, -12.7363, 227.3, -134.277, 221.395, 106.89
24, 0.00000, 7415.54, -0.0000128811, 7415.54, -120, 7415.54, 120, 217.642, -12.1487, 218.378, -133.43, 211.567, 107.756
24, 900.00000, 7415.54, -0.0000126155, 7415.54, -120, 7415.54, 120, 210.214, -11.6285, 208.621, -132.981, 204.462, 108.358
24, 1800.00000, 7415.54, -0.0000116037, 7415.54, -120, 7415.54, 120, 193.533, -11.6583, 194.491, -132.831, 189.787, 108.368
24, 2700.00000, 7415.54, -8.23903E-6, 7415.54, -120, 7415.54, 120, 151.89, -15.1592, 150.997, -137.563, 150.847, 105.106
25, 0.00000, 7415.54, -8.40867E-6, 7415.54, -120, 7415.54, 120, 151.16, -14.3186, 147.699, -136.094, 144.778, 106.066
25, 900.00000, 7415.54, -0.0000122502, 7415.54, -120, 7415.54, 120, 200.145, -10.8725, 198.135, -131.558, 191.919, 109.664
25, 1800.00000, 7415.54, -0.0000127402, 7415.54, -120, 7415.54, 120, 208.725, -10.9817, 210.732, -132.029, 208.903, 109.242
25, 2700.00000, 7415.54, -0.0000138578, 7415.54, -120, 7415.54, 120, 228.789, -11.2823, 225.639, -132.298, 226.576, 109.008
26, 0.00000, 7415.54, -0.000013841, 7415.54, -120, 7415.54, 120, 233.561, -12.1052, 229.584, -132.507, 234.154, 108.721
26, 900.00000, 7415.54, -0.000010407, 7415.54, -120, 7415.54, 120, 200.722, -16.6159, 211.78, -137.472, 202.389, 103.897
26, 1800.00000, 7415.54, -5.49088E-6, 7415.54, -120, 7415.54, 120, 149.313, -25.2609, 148.677, -147.697, 153.088, 96.7172
26, 2700.00000, 7415.54, -0.0000155773, 7415.54, -120, 7415.54, 120, 279.164, -14.2494, 278.91, -135.493, 278.379, 106.322
27, 0.00000, 7415.54, -0.0000149963, 7415.54, -120, 7415.54, 120, 270.975, -14.527, 269.746, -135.776, 266.954, 105.958
27, 900.00000, 7415.54, -0.0000149128, 7415.54, -120, 7415.54, 120, 274.46, -15.1384, 269.847, -136.451, 263.683, 105.172
27, 1800.00000, 7415.54, -0.0000163224, 7415.54, -120, 7415.54, 120, 293.339, -14.3469, 287.467, -135.791, 285.379, 106.033
