"School_name","Lat","Lon","ID"
"RIDGE ELEM",37.60519785,-77.55924942,207
"RIVERS EDGE ELEM",37.6871147,-77.57893107,208
"ROLFE MIDDLE",37.47643535,-77.37289421,209
"SANDSTON ELEM",37.5243903,-77.31287547,210
"SEVEN PINES ELEM",37.51665928,-77.30401635,211
"SHADY GROVE ELEM",37.6948939,-77.6141742,212
"SHORT PUMP ELEM",37.6492116,-77.61194545,213
"SHORT PUMP MIDDLE",37.66672535,-77.61009151,214
"SKIPWITH ELEM",37.6186712,-77.53655494,215
"SPRINGFIELD PARK ELEM",37.65741807,-77.56546828,216
"THREE CHOPT ELEM",37.6022936,-77.53898138,217
"TREVVETT ELEM",37.6382714,-77.49166731,218
"TUCKAHOE ELEM",37.58420565,-77.5531705,219
"TUCKAHOE MIDDLE",37.609483,-77.562105,220
"TUCKER HIGH",37.62834822,-77.54723295,221
"TWIN HICKORY ELEM",37.6720514,-77.6001077,222
"VARINA ELEM",37.4445515,-77.35450282,223
"VARINA HIGH",37.47273565,-77.37687211,224
"WARD ELEM",37.4675902,-77.32436757,225
"ALBERT HILL MIDDLE",37.5624644,-77.48160237,226
"BARACK OBAMA ELEM",37.57374555,-77.43573853,227
"BELLEVUE ELEM",37.531382,-77.42124878,228
"BINFORD MIDDLE",37.5489328,-77.462312,229
"BLACKWELL ELEM",37.516059,-77.445093,230
"BROAD ROCK ELEM",37.47609465,-77.47921159,231
"CARDINAL ELEM",37.49517605,-77.47344823,232
"CHIMBORAZO ELEM",37.5301528,-77.41283265,233
"ELIZABETH D. REDD ELEM",37.51852,-77.502489,234
"FAIRFIELD COURT ELEM",37.5497371,-77.40108371,235
"FRANKLIN MILITARY ACADEMY",37.5285636,-77.40367025,236
"G.H. REID ELEM",37.4888278,-77.50890182,237
"GEORGE W. CARVER ELEM",37.5541574,-77.4482228,238
"GEORGE WYTHE HIGH",37.51074888,-77.48613794,239
"GINTER PARK ELEM",37.586668,-77.447477,240
"HENDERSON MIDDLE",37.5963344,-77.44651129,241
"HENRY MARSH III ELEM",37.5484497,-77.3965745,242
"HUGUENOT HIGH",37.53266646,-77.54276284,243
"J.B. FISHER ELEM",37.5462911,-77.5825508,244
"J.L. FRANCIS ELEM",37.47608005,-77.48846577,245
"JOHN B. CARY ELEM",37.5486126,-77.4823646,246
"JOHN MARSHALL HIGH",37.59327261,-77.44737793,247
"LINWOOD HOLTON ELEM",37.5851694,-77.46119522,248
"LUCILLE M. BROWN MIDDLE",37.52151925,-77.5137851,249
"MAGGIE L. WALKER GOV. SCH.",37.558898,-77.45353709,250
"MARTIN LUTHER KING JR EARLY LEARNING CENTER",37.54007864,-77.42020253,251
"MARTIN LUTHER KING JR. MIDDLE",37.54271415,-77.41942274,252
"MARY MUNFORD ELEM",37.5634167,-77.49998432,253
"MAYMONT PRE-K CENTER",37.5383546,-77.46812292,254
"MILES JONES ELEM",37.50606312,-77.51291566,255
"OAK GROVE/BELLEMEADE ELEM",37.49682163,-77.44238607,256
"OPEN HIGH",37.5376427,-77.45080935,257
