bus,v
p13udm30873,1.015763282302097
p13udm30877,1.0165630479282286
p13udm30878,1.0171127686311277
p13udm30879,1.0172545507005142
p13udm30881,1.0177576467612686
p13udm30882,1.0173005019516732
p13udm30884,1.0183822876246325
p13udm30888,1.0200084792933115
p13udm30889,1.01949922205218
p13udm30890,1.0198758476952183
p13udm30891,1.0201194831057143
p13udm30893,1.0124414725973874
p13udm30894,1.0141525280049777
p13udm30898,1.0151776788475952
p13udm30899,1.0149433532617187
p13udm30902,1.01821048692016
p13udm30903,1.0190788412781517
p13udm30904,1.0156133667766645
p13udm30905,1.0175748574888654
p13udm30906,1.0189462437035317
p13udm30913,1.0166252159111442
p13udm30915,1.016420810604239
p13udm30922,1.0191164082113027
p13udm30923,1.0181229611608207
p13udm30924,1.0177836062736736
p13udm30926,1.0183524258108796
p13udm30931,1.0191473546287177
p13udm30933,1.0194084386926956
p13udm30935,1.018171802043569
p13udm30936,1.019152946648593
p13udm30937,1.0188557321309166
p13udm30938,1.0193744608458528
p13udm30940,1.0175719545295459
p13udm30941,1.0179249922936942
p13udm30943,1.01919726517326
p13udm30945,1.0178372798269417
p13udm30946,1.0185071732789055
p13udm30948,1.0191136642420413
p13udm30949,1.0184056663917267
p13udm30950,1.0193436428109284
p13udm30951,1.0189145629154335
p13udm30953,1.0180421464887328
p13udm30955,1.016360903272267
p13udm30956,1.0169972790013933
p13udm30957,1.0177813886471412
p13udm30958,1.0175775252655415
p13udm30960,1.0182869668389136
p13udm30961,1.0170718473040004
p13udm30962,1.0179433562019007
p13udm30963,1.0159068548949595
p13udm30965,1.0179202994317476
p13udm30966,1.0175643195849324
p13udm30967,1.0178828424838309
p13udm30968,1.0174250932450577
p13udm30969,1.0172410948535187
p13udm31018,1.019161168800024
p13udm31022,1.0190530146915422
p13udm31025,1.0168766335846815
p13udm31026,1.017832430081365
p13udm31027,1.0150513139503952
p13udm31028,1.0143103594578933
p13udm31031,1.017870363267725
p13udm31033,1.0141126323795921
p13udm31035,1.0175096414235045
p13udm31036,1.0173627564366678
p13udm31039,1.0164088645095561
p13udm31040,1.0159187317812415
p13udm31041,1.016080095105702
p13udm31042,1.0153633974351823
p13udm31043,1.0156884033558198
p13udm31044,1.0150621338639518
p13udm31045,1.0170180169661323
p13udm31046,1.0167909156618982
p13udm31047,1.0161331349665454
p13udm31049,1.0178529092917379
p13udm31051,1.016175934427281
p13udm31052,1.0144800009459565
p13udm31053,1.0160482556874713
p13udm31054,1.0162902902739748
p13udm31056,1.0168982663922352
p13udm31061,1.013612442494043
p13udm31062,1.0112150902441366
p13udm31063,1.0150682630546788
p13udm31068,1.011896256275823
p13udm31069,1.0172156374752426
p13udm31073,1.0180887114208992
p13udm31074,1.0167022434949349
p13udm31075,1.0172424209256032
p13udm31081,1.0204708660227189
p13udm31086,1.0137525051319427
p13udm31090,1.0158749980188242
p13udm31091,1.014725669412572
p13udm31093,1.0162241309541176
p13udm31095,1.0137975337598353
p13udm31096,1.0151493408720436
p13udm31098,1.0145764058309874
p13udm31099,1.0146698541967305
p13udm31103,1.0145640083883818
p13udm31106,1.0136322088666283
p13udm31107,1.0156463827609596
p13udm31108,1.0163672120394036
p13udm31111,1.0173538629523917
p13udm31112,1.0167289702024656
p13udm31114,1.0177217094992743
p13udm31117,1.0166270646628128
p13udm31118,1.015964440193868
p13udm31119,1.017458520263701
p13udm31120,1.0180602910548133
p13udm31121,1.0177631830694192
p13udm31128,1.015763383833289
p13udm31130,1.0149173634476991
p13udm31133,1.0147315723202959
p13udm31134,1.0176099728487624
p13udm31135,1.0161417066378553
p13udm31136,1.0170876533869535
p13udm31137,1.0152707819313394
p13udm31139,1.0163372857460597
p13udm31141,1.0164071180844163
p13udm31145,1.0168259579895293
p13udm31146,1.016191529456426
p13udm31147,1.016141666692681
p13udm31149,1.0167220611946914
p13udm31150,1.0136071993941738
p13udm31153,1.0139446603503934
p13udm31156,1.0171082329816237
p13udm31160,1.0164994931351088
p13udm31161,1.0152241900710526
p13udm31163,1.0172861624649778
p13udm31164,1.0175698883346274
p13udm31167,1.0178465071140792
p13udm31849,1.0190196619260021
p13udm31850,1.0194550575045658
p13udm31851,1.0177468019809126
p13udm31852,1.0179889929902481
p13udm31853,1.0186718990096288
p13udm31856,1.0181112614447985
p13udm31857,1.0173969471220574
p13udm31858,1.019970636728281
p13udm31859,1.0179685898242368
p13udm31860,1.0191837708764586
p13udm31861,1.0187270733726002
p13udm31862,1.0166434155749458
p13udm31864,1.019486341669162
p13udm31867,1.0193837535866144
p13udm31868,1.0200982324261587
p13udm31870,1.0189956885166747
p13udm31872,1.0198013810818387
p13udm31873,1.0177302665644725
p13udm31874,1.0169534573505759
p13udm31875,1.0195182480167722
