hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
23, 2700.00000, 2342.23, 3.2651, 2501.49, 8.04861, 2308.62, 3.52039
24, 0.00000, 2309.46, 2.69191, 2244.6, 5.97746, 2283.27, 3.0353
24, 900.00000, 2265.21, 2.24514, 2312.42, 5.33769, 2235.44, 2.39808
24, 1800.00000, 2221.19, 1.96827, 2149.18, 5.28866, 2202.05, 2.39435
24, 2700.00000, 1455.46, 5.2495, 1525.89, 9.42077, 1525.85, 4.86408
25, 0.00000, 1320.89, 5.52939, 1317.18, 10.5204, 1452.37, 5.65158
25, 900.00000, 2301.27, 1.83121, 2344.92, 4.78892, 2320.34, 2.47288
25, 1800.00000, 2422.2, 2.68035, 2333.68, 5.10015, 2432.33, 3.12136
25, 2700.00000, 2587.95, 3.27317, 2676.44, 5.80632, 2578.03, 3.74256
26, 0.00000, 2737.96, 4.0393, 2710.23, 6.50679, 2733.35, 4.38365
26, 900.00000, 1827.98, 11.4552, 2040.08, 15.22, 1966.47, 10.4869
26, 1800.00000, 976.83, 30.4365, 1252.03, 34.4642, 1226.22, 22.9909
26, 2700.00000, 3046.39, 6.48037, 3239.43, 9.9024, 3099, 6.87698
27, 0.00000, 3152.59, 6.30287, 3157.19, 10.0835, 3130.46, 6.72543
27, 900.00000, 3095.81, 6.42099, 3186.28, 9.55038, 3147.72, 6.93323
27, 1800.00000, 3125.83, 6.51132, 3179.44, 10.7718, 3132.78, 6.83546
27, 2700.00000, 3096.79, 6.89066, 3202.19, 10.1324, 3072.35, 7.10709
28, 0.00000, 2656.44, 8.13166, 2644.28, 11.561, 2681.96, 8.20725
28, 900.00000, 2527.32, 7.94946, 2746.11, 11.9366, 2604.1, 8.14125
28, 1800.00000, 2939.73, 6.45524, 2962.19, 9.39902, 2957.45, 6.75193
28, 2700.00000, 2846.29, 6.24415, 3085.07, 10.2447, 2915.89, 6.6259
29, 0.00000, 2869.88, 6.35481, 2922.28, 10.4803, 2919, 6.73948
29, 900.00000, 2904.82, 6.683, 3049.32, 9.72922, 2948.98, 7.16341
29, 1800.00000, 876.984, 45.0698, 1131.03, 43.9393, 1097.76, 31.0114
29, 2700.00000, 809.305, 44.9131, 1289.51, 40.0392, 1042.42, 31.6737
30, 0.00000, 3184.9, 7.07257, 3278.3, 10.3911, 3218.8, 7.3963
30, 900.00000, 3174.74, 6.89238, 3350.59, 9.99243, 3197.73, 7.30679
30, 1800.00000, 3173.27, 6.74494, 3311.77, 10.9757, 3169.14, 7.23643
