hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
25, 2700.00000, 1673.77, 13.3413, 1642.48, 11.6033, 1793.66, 12.8378
26, 0.00000, 1729.22, 14.6183, 1730.99, 12.0397, 1785.4, 13.4431
26, 900.00000, 1293.56, 28.299, 1456.17, 20.2369, 1615.34, 20.7222
26, 1800.00000, 1037.26, 58.6741, 1196.63, 32.9457, 1234.52, 37.3864
26, 2700.00000, 1976.08, 16.5619, 2027.98, 14.7623, 2370.81, 21.0153
27, 0.00000, 1948.46, 16.8883, 2027.43, 14.8726, 2220.48, 21.7771
27, 900.00000, 1945.52, 16.6914, 1976.14, 15.1859, 2040.86, 15.9924
27, 1800.00000, 1995.53, 17.4059, 1910.08, 15.0527, 2092.69, 22.2736
27, 2700.00000, 1985.39, 16.0947, 1943.34, 15.7303, 1978.9, 16.9696
28, 0.00000, 1729.22, 21.8051, 1740.73, 18.8333, 1731.28, 20.4431
28, 900.00000, 1763.28, 24.1078, 1724.62, 18.8832, 1698.67, 21.7403
28, 1800.00000, 1965.69, 20.5485, 1843.32, 15.6214, 1770.02, 17.1431
28, 2700.00000, 1907.14, 16.484, 1782.11, 15.7174, 1981.54, 22.1881
29, 0.00000, 1805.21, 18.0351, 1771.82, 16.1219, 1722.88, 17.5509
29, 900.00000, 1852.86, 16.8325, 1846.25, 16.0637, 1870.65, 17.5684
29, 1800.00000, 2435.77, 73.9366, 1041.57, 44.8054, 1009.31, 52.4294
29, 2700.00000, 1105.64, 61.512, 1150.48, 39.9727, 1176.91, 47.1795
30, 0.00000, 2174.84, 17.516, 2046.26, 15.3105, 2263.1, 22.3162
30, 900.00000, 2223.87, 15.9792, 2552.58, 20.1937, 2297.71, 19.4668
30, 1800.00000, 2208.74, 16.7351, 2510.32, 18.8973, 2119.46, 16.7115
30, 2700.00000, 2088.75, 15.8188, 2132.53, 14.6808, 2316.93, 21.6492
31, 0.00000, 1340.61, 38.8097, 1557.6, 24.156, 1683.8, 35.053
31, 900.00000, 3304.76, 52.2367, 838.977, 61.9926, 1460.58, 72.9567
31, 1800.00000, 1220.99, 30.0467, 1416.7, 21.9385, 1440.07, 36.1877
31, 2700.00000, 1498.03, 15.6484, 1574.05, 14.6487, 1509.2, 16.2235
32, 0.00000, 1496.33, 16.4286, 1602.33, 13.84, 1553.77, 23.5924
32, 900.00000, 1349.77, 14.2178, 1381.83, 13.0673, 1366.14, 14.401
32, 1800.00000, 1291.52, 15.834, 1300.93, 12.8274, 1312.42, 16.2064
32, 2700.00000, 672.681, 52.7704, 808.257, 30.2472, 852.07, 34.7917
33, 0.00000, 937.132, 28.2805, 1055.75, 18.6946, 1009.02, 23.6633
33, 900.00000, 1295.54, 14.0197, 1310.12, 13.0598, 1416.74, 13.7204
33, 1800.00000, 1372.82, 15.8084, 1357.04, 13.2569, 1405.55, 14.4981
33, 2700.00000, 1532.63, 14.0069, 1520.59, 13.033, 1617.37, 13.7567
34, 0.00000, 1601.32, 15.8101, 1580.13, 12.9169, 1607, 14.5939
34, 900.00000, 1190.4, 32.7854, 1268.26, 23.6983, 1567.75, 30.7271
34, 1800.00000, 1134.76, 43.7172, 1196.6, 29.2589, 1500.16, 37.1136
34, 2700.00000, 1780, 19.4662, 1803.96, 17.4839, 1980.41, 19.3231
35, 0.00000, 1877.95, 17.5647, 1882.11, 15.1882, 1974.68, 16.3851
35, 900.00000, 1881.89, 16.8815, 1870.69, 15.0564, 2032.52, 16.1231
35, 1800.00000, 2057.42, 17.7903, 1899.5, 15.2429, 2006.05, 19.0991
35, 2700.00000, 1727.52, 21.0084, 1692.11, 17.8606, 1801.54, 19.601
36, 0.00000, 6501.38, 59.6022, 847.536, 58.373, 924.402, 69.3817
36, 900.00000, 1172.57, 44.3813, 1324.51, 29.8085, 1462.67, 43.0149
36, 1800.00000, 1894.11, 17.342, 1907.64, 14.832, 1943.95, 22.9234
36, 2700.00000, 1846.27, 16.1298, 1792.58, 14.6164, 1845.44, 15.6173
37, 0.00000, 1851.36, 17.2679, 1793.22, 14.4419, 1763.24, 16.6901
37, 900.00000, 1912.96, 16.5437, 1861.22, 14.7137, 1892.4, 16.1591
37, 1800.00000, 1545.16, 26.3567, 1611.38, 20.1951, 1564.33, 23.5097
37, 2700.00000, 1961.29, 19.2382, 1948.74, 16.3424, 1968.33, 17.9576
38, 0.00000, 2192.75, 18.5264, 2145.22, 15.0715, 2039.72, 16.6084
38, 900.00000, 2288.32, 17.1401, 2210.09, 14.7614, 2513.62, 23.0002
38, 1800.00000, 2234.56, 17.8722, 2139.89, 14.4581, 2138.52, 17.26
