bus,voltage
p13udm44186,1.0208060977123339
p13udm44192,1.0203791728488532
p13udm44193,1.0195404435427733
p13udm44194,1.017340066621086
p13udm44201,1.0187672726218395
p13udm44206,1.0232029884624576
p13udm44207,1.023819305100293
p13udm44210,1.0227127436329848
p13udm44211,1.0242783701565967
p13udm44213,1.0239710935623316
p13udm44215,1.0251815852694013
p13udm44217,1.025069479835555
p13udm44219,1.0254914034253013
p13udm44221,1.0256772723889398
p13udm44224,1.0259844651811465
p13udm44226,1.0191174874965911
p13udm44230,1.0217126106020973
p13udm44231,1.0223231136522934
p13udm44232,1.0205658833801476
p13udm44235,1.0257722553809663
p13udm44236,1.025786604395074
p13udm44237,1.0252923299743393
p13udm44257,1.0256017062103542
p13udm44259,1.023229209776013
p13udm44260,1.025744065082061
p13udm44262,1.0258276391421473
p13udm44610,1.0215136907574414
p13udm44613,1.0175014185251556
p13udm44614,1.0206354172420258
p13udm44615,1.0209858021475124
p13udm44616,1.020506846334852
p13udm44617,1.019734062526585
p13udm44618,1.02128197035371
p13udm44620,1.0217982432127155
p13udm44621,1.0212083808726382
p13udm44623,1.0192065158187804
p13udm45855,1.020634031862631
p13udm45856,1.0218738083458117
p13udm45857,1.0194113367327198
p13udm45858,1.0219173426023775
p13udm45859,1.0198606052312469
p13udm45860,1.0180931414764822
p13udm45861,1.0163967836484786
p13udm45868,1.0180665142620988
p13udm46236,1.023158554573385
p13udm46240,1.0239258894867123
p13udm46253,1.021028598145687
p13udm46254,1.022054565723391
p13udm46255,1.0221519630965186
p13udm46257,1.0212606698899642
p13udm46261,1.0217653117557304
p13udm46262,1.0210945200504185
p13udm46272,1.0212512158601679
p13udm46273,1.0215514515670265
p13udm46280,1.0211256581130592
p13udm46281,1.0213714104612168
p13udm46282,1.0190006197898092
p13udm47579,1.0214286661147265
p13udm47580,1.0212340769024224
p13udm47581,1.0228831899845918
p13udm47582,1.0224829018257133
p13udm47631,1.0227361522442855
p13udm47632,1.0228125570014783
p13udm65613,0.9935055212804849
p13udm65615,0.9998622264714869
p13udm65619,1.023983012813812
p13udm65620,1.023992167246246
p13udm65624,1.023769307228393
p13udm65625,1.023831182839782
p13udm65626,1.0208536841251923
p13udm65627,1.0200910499487117
p13udm65629,1.0213960891261131
p13udm65631,1.0209852424729915
p13udm65633,1.0231101322598637
p13udm65634,1.023190703378762
p13udm65636,1.0231106089110247
p13udm65647,1.020864954913494
p13udm65648,1.0163166751272434
p13udm65651,1.0206504637104958
p13udm65652,1.0220132565708742
p13udm65654,1.022691680066464
p13udm65658,1.0217212151234936
p13udm65660,1.0206677613721724
p13udm65661,1.0207261314372862
p13udm65662,1.0210341753950045
p13udm65664,1.0215489367452535
p13udm65665,1.019887599758937
p13udm65667,1.015590579776302
p13udm65668,1.017017742246176
p13udm65672,1.0172220705070902
p13udm65673,1.0176898304758633
p13udm65677,1.016120628621414
p13udm65678,1.0189080922885205
p13udm65680,1.0200563939001572
p13udm65681,1.0191574662025675
p13udm65682,1.0197382334261271
p13udm65683,1.020488372935736
p13udm65687,1.0173370612582273
p13udm65688,1.0169734239683579
p13udm65689,1.017859501762643
p13udm65690,1.0180975010243445
p13udm65692,1.0179096540118313
p13udm65766,0.9825975407733919
p13udm65768,0.9957060689695355
p13udm65769,1.0030196331731518
p13udm65772,1.0021207851612297
p13udm65773,1.0013506637207499
p13udm65775,1.0236739085801192
p13udm65777,1.0226249051422662
p13udm65778,1.022878902608133
p13udm65782,1.023035439180195
p13udm65785,1.0238402452630158
p13udm65788,1.0239480508056602
p13udm65790,1.0211491061919922
p13udm65792,1.0205478767981395
p13udm65793,1.0206932498864454
